,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
483,RT @CBSPhilly: #Puppy revived by #Narcan after swalloing #opioid while on walk with owner https://t.co/WbfEjsUbpG,FALSE,0,NA,10/28/2017 0:22,FALSE,NA,9.24069E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Doc_JJK,8,TRUE,FALSE,NA,NA
484,RT @fox32news: Puppy revived with Narcan after overdose https://t.co/fsZTTTMLLf https://t.co/8a1g7icgmn,FALSE,0,NA,10/28/2017 0:17,FALSE,NA,9.24067E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SampleATL,4,TRUE,FALSE,NA,NA
485,Narcan Is Now Sold At Walgreens: What Is It And How Will It Help The Opi... https://t.co/F1LKauX9Pd via @YouTube,FALSE,0,NA,10/28/2017 0:15,FALSE,NA,9.24067E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JessicaLeese,0,FALSE,FALSE,NA,NA
486,RT @1450WKIP: Walgreen's is now selling the opioid overdose drug as a nasal spray to anyone at stores in 45 states. https://t.co/LNJ3pUIMHy,FALSE,0,NA,10/28/2017 0:14,FALSE,NA,9.24067E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JrSoulPtrl,1,TRUE,FALSE,NA,NA
487,Puppy revived with Narcan after overdose https://t.co/61NH7ALwqF https://t.co/b7qZf4Ow6m https://t.co/mZF6BCTjgt,FALSE,0,NA,10/28/2017 0:14,FALSE,NA,9.24067E+17,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",samuelcpw,0,FALSE,FALSE,NA,NA
488,What is Narcan? 12 things to know about the drug https://t.co/XLdM4cwrQg,FALSE,0,NA,10/28/2017 0:14,FALSE,NA,9.24067E+17,NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",971theriver,0,FALSE,FALSE,NA,NA
489,@eugenegu Why didn't you administer NARCAN?,FALSE,0,eugenegu,10/28/2017 0:13,FALSE,9.23718E+17,9.24067E+17,65497475,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JPBatl,0,FALSE,FALSE,NA,NA
490,RT @fox32news: Puppy revived with Narcan after overdose https://t.co/fsZTTTMLLf https://t.co/8a1g7icgmn,FALSE,0,NA,10/28/2017 0:12,FALSE,NA,9.24066E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RedCook1980,4,TRUE,FALSE,NA,NA
491,RT @g0ldenraes: Junkies gonna be PISSED when they realize that narcan has a rebound effect...the standard otc dose doesn’t always reverse o…,FALSE,0,NA,10/28/2017 0:12,FALSE,NA,9.24066E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MrZae__,3,TRUE,FALSE,NA,NA
492,Narcan Is Now Available Over the Counter in 46 States https://t.co/9cv68XH7nT https://t.co/pg840sQYHw,FALSE,0,NA,10/28/2017 0:11,FALSE,NA,9.24066E+17,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",sgndntwk,0,FALSE,FALSE,NA,NA
493,Puppy revived with Narcan after overdose https://t.co/fsZTTTMLLf https://t.co/8a1g7icgmn,FALSE,4,NA,10/28/2017 0:11,FALSE,NA,9.24066E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",fox32news,4,FALSE,FALSE,NA,NA
